amortizacao_extraordinaria
"0,00"
"2,50"
"5,52"
"3,57"
"3,57"
"3,79"
"0,00"
"0,17"
"0,31"
"0,38"
"0,00"
"0,00"
"0,00"
"0,00"
"0,75"
"0,00"
"0,00"
"0,00"
"1,48"
"1,27"
"4,90"
"0,00"
"3,59"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
"0,00"
